name_product;categ_product;price_new;price_old;Артикул;Висота;Ширина;Глибина;Ціновий діапазон;Серія;Тип кухні;Можливість індивідуального замовлення;Гарантія;Матеріал корпуса;Матеріал фасада;Упаковка;Наявність;Спосіб оплати;images
"Кухня ""Еко"" 22";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;22;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/22e/22ef722a5821cff7d638c48f1dc69934.jpg
"Кухня ""Еко"" 23";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;23;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/662/662c2cf303702ee626540744704c37c5.jpg
"Кухня ""Еко"" 24";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;24;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/180/1807a42b09c49fd53c074cf5f9bf571c.jpg
"Кухня ""Еко"" 16";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;16;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/75b/75b6ba67bdd1393288e41c7bc37f8e78.jpg
"Кухня ""Еко"" 14";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;14;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/245/245674caa78cf5be41d67b69066d189e.jpg
"Кухня ""Фарбований високий глянець"" KX-6725";Кухні посекційно;від 7 349 грн/м.пог.;від 8 962 грн/м.пог.;KX-6725;2140 мм;4050 мм;3050 мм;Низький;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/e47/e47d75fd55304bf20557bf032a7a44e1.jpg
"Кухня ""Фарбований високий глянець"" KX-6726";Кухні посекційно;від 7 349 грн/м.пог.;від 8 962 грн/м.пог.;KX-6726;2140 мм;3400 мм;600 мм;Низький;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/bb1/bb1ed28aa5547ce9fd296098e455d9d5.jpg
"Кухня ""Фарбований високий глянець"" KX-6727";Кухні посекційно;від 7 349 грн/м.пог.;від 8 962 грн/м.пог.;KX-6727;2140 мм;3350мм;3100 мм;Низький;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/170/1705e5de134601175fd3dad5684efecf.jpg
"Кухня ""Фарбований високий глянець"" KX-6728";Кухні посекційно;від 7 349 грн/м.пог.;від 8 962 грн/м.пог.;KX-6728;3600 мм;600 мм;Низький;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/502/5025d1bce1283e0016761dc890aa7512.jpg
"Кухня ""Фарбований високий глянець"" KX-6729";Кухні посекційно;від 7 349 грн/м.пог.;від 8 962 грн/м.пог.;KX-6729;2140 мм;2600 мм;3000 мм;Низький;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/32f/32f4b9d9b514141909b10c83a74d1f7a.jpg
"Кухня ""Фарбований високий глянець"" KX-6730";Кухні посекційно;від 7 349 грн/м.пог.;від 8 962 грн/м.пог.;KX-6730;3200 мм;600 мм;Низький;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/b62/b62547355861e888705e6ba041c399e3.jpg
"Кухня ""Фарбований високий глянець"" KX-6731";Кухні посекційно;від 7 349 грн/м.пог.;від 8 962 грн/м.пог.;KX-6731;2140 мм;3400 мм;600 мм;Низький;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/2e5/2e550f947072bad14bf3d76406b72e18.jpg
"Кухня ""Фарбований високий глянець"" KX-6732";Кухні посекційно;від 7 349 грн/м.пог.;від 8 962 грн/м.пог.;KX-6732;2140мм;3000 мм;1700 мм;Низький;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/c4d/c4d3d80e05457c314d1d52f16c5945cb.jpg
